Index in PPC list	Rank of PPC for ISP A	Rank of PPC for ISP B	(Rank A - Rank B)^2	Willingness (A)	Willingness (B)	Willingness (AB) = 1 - (diff^2/(1-n)^2)
30.0	1.0	1.0	0.0	1.0	1.0	1.0
28.0	3.0	4.0	1.0	0.9354838709677419	0.9032258064516129	0.9192133450822585
26.0	2.0	5.0	9.0	0.967741935483871	0.8709677419354839	0.9180806110166263
22.0	8.0	3.0	25.0	0.7741935483870968	0.9354838709677419	0.8510261908563174
14.0	13.0	2.0	121.0	0.6129032258064516	0.967741935483871	0.7701507346008595
24.0	7.0	11.0	16.0	0.8064516129032258	0.6774193548387096	0.7391251120896516
20.0	10.0	9.0	1.0	0.7096774193548387	0.7419354838709677	0.7256272180130319
18.0	11.0	10.0	1.0	0.6774193548387096	0.7096774193548387	0.6933608148453122
29.0	4.0	17.0	169.0	0.9032258064516129	0.4838709677419355	0.661093597803845
12.0	18.0	8.0	100.0	0.45161290322580644	0.7741935483870968	0.5913000896717212
10.0	19.0	7.0	144.0	0.41935483870967744	0.8064516129032258	0.5815405283006434
25.0	5.0	20.0	225.0	0.8709677419354839	0.3870967741935484	0.5806451612903226
27.0	6.0	21.0	225.0	0.8387096774193549	0.3548387096774194	0.5455333717834763
16.0	16.0	15.0	1.0	0.5161290322580645	0.5483870967741935	0.5320136291119562
21.0	12.0	19.0	49.0	0.6451612903225806	0.41935483870967744	0.5201456611805516
13.0	17.0	18.0	1.0	0.4838709677419355	0.45161290322580644	0.46746376600611095
6.0	24.0	6.0	324.0	0.25806451612903225	0.8387096774193549	0.4652324226405148
8.0	23.0	14.0	81.0	0.2903225806451613	0.5806451612903226	0.4105781310115438
17.0	14.0	25.0	121.0	0.5806451612903226	0.22580645161290322	0.3620958761394137
2.0	26.0	12.0	196.0	0.1935483870967742	0.6451612903225806	0.3533693919388168
23.0	9.0	27.0	324.0	0.7419354838709677	0.16129032258064516	0.3459292030568906
19.0	15.0	26.0	121.0	0.5483870967741935	0.1935483870967742	0.3257904818826477
11.0	21.0	23.0	4.0	0.3548387096774194	0.2903225806451613	0.3209636893892323
4.0	27.0	13.0	196.0	0.16129032258064516	0.6129032258064516	0.31441272080028915
9.0	22.0	24.0	4.0	0.3225806451612903	0.25806451612903225	0.2885249003225535
5.0	28.0	22.0	36.0	0.12903225806451613	0.3225806451612903	0.2040179135592503
0.0	31.0	16.0	225.0	0.03225806451612903	0.5161290322580645	0.12903225806451615
7.0	25.0	30.0	25.0	0.22580645161290322	0.06451612903225806	0.12069862537980457
15.0	20.0	31.0	121.0	0.3870967741935484	0.03225806451612903	0.11174521339154045
1.0	29.0	28.0	1.0	0.0967741935483871	0.12903225806451613	0.11174521339154045
3.0	30.0	29.0	1.0	0.06451612903225806	0.0967741935483871	0.07901579815429605
