PPC Index	Possible Location Combinations	My Traffic	Opponent Traffic	Total Traffic	Traffic Difference	Traffic Ratio
2	[(37.24, -121.78), (40.72, -74.01), (41.85, -87.62)]	10466008.455299718	4542558.458358025	15008566.913657743	5923449.996941693	2.3
5	[(37.24, -121.78), (40.72, -74.01), (40.74, -74.0)]	10466008.455299718	6007899.896538033	16473908.35183775	4458108.558761685	1.74
0	[(37.24, -121.78), (41.85, -87.62)]	5233004.227649859	4542558.458358025	9775562.686007883	690445.769291834	1.15
1	[(40.72, -74.01), (41.85, -87.62)]	5233004.227649859	4542558.458358025	9775562.686007883	690445.769291834	1.15
8	[(37.24, -121.78), (40.72, -74.01), (41.85, -87.62), (40.74, -74.0)]	10466008.455299718	10550458.354896057	21016466.810195774	-84449.89959633909	0.99
3	[(37.24, -121.78), (40.74, -74.0)]	5233004.227649859	6007899.896538033	11240904.124187892	-774895.668888174	0.87
4	[(40.72, -74.01), (40.74, -74.0)]	5233004.227649859	6007899.896538033	11240904.124187892	-774895.668888174	0.87
6	[(37.24, -121.78), (41.85, -87.62), (40.74, -74.0)]	5233004.227649859	10550458.354896057	15783462.582545917	-5317454.127246198	0.5
7	[(40.72, -74.01), (41.85, -87.62), (40.74, -74.0)]	5233004.227649859	10550458.354896057	15783462.582545917	-5317454.127246198	0.5
