PPC Index	Possible Location Combinations	My Traffic	Opponent Traffic	Total Traffic	Traffic Difference	Traffic Ratio
6	[(34.05, -118.26), (39.02, -77.46), (41.85, -87.62), (40.72, -74.01)]	12997987.313791221	11716414.466749702	24714401.78054092	1281572.8470415194	1.11
2	[(34.05, -118.26), (39.02, -77.46), (40.72, -74.01)]	12069559.64852042	11716414.466749702	23785974.115270123	353145.1817707177	1.03
4	[(34.05, -118.26), (41.85, -87.62), (40.72, -74.01)]	12069559.64852042	11716414.466749702	23785974.115270123	353145.1817707177	1.03
0	[(34.05, -118.26), (40.72, -74.01)]	11141131.983249618	11716414.466749702	22857546.449999318	-575282.4835000839	0.95
5	[(39.02, -77.46), (41.85, -87.62), (40.72, -74.01)]	1856855.3305416033	11716414.466749702	13573269.797291305	-9859559.136208098	0.16
1	[(39.02, -77.46), (40.72, -74.01)]	928427.6652708016	11716414.466749702	12644842.132020503	-10787986.8014789	0.08
3	[(41.85, -87.62), (40.72, -74.01)]	928427.6652708016	11716414.466749702	12644842.132020503	-10787986.8014789	0.08
