PPC Index	Possible Location Combinations	My Traffic	Opponent Traffic	Total Traffic	Traffic Difference	Traffic Ratio
5	[(37.24, -121.78), (40.72, -74.01), (39.02, -77.46)]	10791862.475450978	5627402.957572418	16419265.433023397	5164459.517878559	1.92
6	[(41.85, -87.62), (40.72, -74.01), (39.02, -77.46)]	10791862.475450978	5627402.957572418	16419265.433023397	5164459.517878559	1.92
7	[(37.24, -121.78), (41.85, -87.62), (40.72, -74.01), (39.02, -77.46)]	10791862.475450978	11254805.915144837	22046668.390595816	-462943.43969385885	0.96
2	[(37.24, -121.78), (39.02, -77.46)]	9143105.70836819	5627402.957572418	14770508.665940609	3515702.7507957714	1.62
3	[(41.85, -87.62), (39.02, -77.46)]	9143105.70836819	5627402.957572418	14770508.665940609	3515702.7507957714	1.62
4	[(37.24, -121.78), (41.85, -87.62), (39.02, -77.46)]	9143105.70836819	11254805.915144837	20397911.623513028	-2111700.206776647	0.81
0	[(37.24, -121.78), (40.72, -74.01)]	1648756.7670827885	5627402.957572418	7276159.724655207	-3978646.1904896297	0.29
1	[(41.85, -87.62), (40.72, -74.01)]	1648756.7670827885	5627402.957572418	7276159.724655207	-3978646.1904896297	0.29
