Index in PPC list	Rank of PPC for ISP A	Rank of PPC for ISP B	(Rank A - Rank B)^2	Willingness (A)	Willingness (B)	Willingness (AB) = 1 - (diff^2/(1-n)^2)
5.0	1.0	2.0	1.0	1.0	0.8888888888888888	0.9428090415820634
2.0	4.0	1.0	9.0	0.625	1.0	0.7905694150420948
3.0	5.0	6.0	1.0	0.5	0.4444444444444444	0.4714045207910317
8.0	7.0	3.0	16.0	0.25	0.7777777777777778	0.44095855184409843
6.0	2.0	8.0	36.0	0.875	0.2222222222222222	0.4409585518440984
0.0	7.0	4.0	9.0	0.25	0.6666666666666666	0.408248290463863
4.0	6.0	7.0	1.0	0.375	0.3333333333333333	0.35355339059327373
7.0	3.0	9.0	36.0	0.75	0.1111111111111111	0.28867513459481287
1.0	8.0	5.0	9.0	0.125	0.5555555555555556	0.26352313834736496
