PPC Index	Possible Location Combinations	My Traffic	Opponent Traffic	Total Traffic	Traffic Difference	Traffic Ratio
2	[(37.24, -121.78), (41.85, -87.62), (40.72, -74.01)]	11254805.915144837	1648756.7670827885	12903562.682227625	9606049.148062048	6.83
5	[(37.24, -121.78), (41.85, -87.62), (39.02, -77.46)]	11254805.915144837	9143105.70836819	20397911.623513028	2111700.206776647	1.23
8	[(37.24, -121.78), (41.85, -87.62), (40.72, -74.01), (39.02, -77.46)]	11254805.915144837	10791862.475450978	22046668.390595816	462943.43969385885	1.04
0	[(37.24, -121.78), (40.72, -74.01)]	5627402.957572418	1648756.7670827885	7276159.724655207	3978646.1904896297	3.41
1	[(41.85, -87.62), (40.72, -74.01)]	5627402.957572418	1648756.7670827885	7276159.724655207	3978646.1904896297	3.41
3	[(37.24, -121.78), (39.02, -77.46)]	5627402.957572418	9143105.70836819	14770508.665940609	-3515702.7507957714	0.62
4	[(41.85, -87.62), (39.02, -77.46)]	5627402.957572418	9143105.70836819	14770508.665940609	-3515702.7507957714	0.62
6	[(37.24, -121.78), (40.72, -74.01), (39.02, -77.46)]	5627402.957572418	10791862.475450978	16419265.433023397	-5164459.517878559	0.52
7	[(41.85, -87.62), (40.72, -74.01), (39.02, -77.46)]	5627402.957572418	10791862.475450978	16419265.433023397	-5164459.517878559	0.52
