PPC Index	Possible Location Combinations	My Traffic	Opponent Traffic	Total Traffic	Traffic Difference	Traffic Ratio
2	[(39.02, -77.46), (40.72, -74.01), (41.85, -87.62)]	14469228.750316948	13007180.511727957	27476409.262044907	1462048.2385889906	1.11
1	[(39.02, -77.46), (41.85, -87.62)]	7579119.821594592	13007180.511727957	20586300.333322547	-5428060.690133365	0.58
0	[(39.02, -77.46), (40.72, -74.01)]	6890108.9287223555	13007180.511727957	19897289.44045031	-6117071.583005602	0.53
