PPC Index	Possible Location Combinations	My Traffic	Opponent Traffic	Total Traffic	Traffic Difference	Traffic Ratio
1	[(39.02, -77.46), (40.72, -74.01)]	11716414.466749702	928427.6652708016	12644842.132020503	10787986.8014789	12.62
3	[(41.85, -87.62), (40.72, -74.01)]	11716414.466749702	928427.6652708016	12644842.132020503	10787986.8014789	12.62
5	[(39.02, -77.46), (41.85, -87.62), (40.72, -74.01)]	11716414.466749702	1856855.3305416033	13573269.797291305	9859559.136208098	6.31
0	[(34.05, -118.26), (40.72, -74.01)]	11716414.466749702	11141131.983249618	22857546.449999318	575282.4835000839	1.05
2	[(34.05, -118.26), (39.02, -77.46), (40.72, -74.01)]	11716414.466749702	12069559.64852042	23785974.115270123	-353145.1817707177	0.97
4	[(34.05, -118.26), (41.85, -87.62), (40.72, -74.01)]	11716414.466749702	12069559.64852042	23785974.115270123	-353145.1817707177	0.97
6	[(34.05, -118.26), (39.02, -77.46), (41.85, -87.62), (40.72, -74.01)]	11716414.466749702	12997987.313791221	24714401.78054092	-1281572.8470415194	0.9
