PPC Index	Possible Location Combinations	My Traffic	Opponent Traffic	Total Traffic	Traffic Difference	Traffic Ratio
2	[(39.02, -77.46), (40.74, -74.0), (40.72, -74.01)]	6927156.148056006	2820741.4332631854	9747897.58131919	4106414.7147928206	2.46
0	[(39.02, -77.46), (40.72, -74.01)]	6349893.135718006	2820741.4332631854	9170634.568981191	3529151.7024548203	2.25
5	[(39.02, -77.46), (40.74, -74.0), (41.85, -87.62)]	6927156.148056006	7949362.221014434	14876518.36907044	-1022206.0729584275	0.87
3	[(39.02, -77.46), (41.85, -87.62)]	6349893.135718006	7949362.221014434	14299255.35673244	-1599469.0852964278	0.8
8	[(39.02, -77.46), (40.74, -74.0), (40.72, -74.01), (41.85, -87.62)]	6927156.148056006	10770103.654277619	17697259.802333623	-3842947.506221613	0.64
6	[(39.02, -77.46), (40.72, -74.01), (41.85, -87.62)]	6349893.135718006	10770103.654277619	17119996.789995626	-4420210.518559613	0.59
1	[(40.74, -74.0), (40.72, -74.01)]	577263.0123380005	2820741.4332631854	3398004.445601186	-2243478.420925185	0.2
4	[(40.74, -74.0), (41.85, -87.62)]	577263.0123380005	7949362.221014434	8526625.233352434	-7372099.208676433	0.07
7	[(40.74, -74.0), (40.72, -74.01), (41.85, -87.62)]	577263.0123380005	10770103.654277619	11347366.66661562	-10192840.641939618	0.05
