PPC Index	Possible Location Combinations	My Traffic	Opponent Traffic	Total Traffic	Traffic Difference	Traffic Ratio
6	[(32.8, -96.82), (40.72, -74.01), (40.74, -74.0), (41.85, -87.62)]	12581098.26729656	11845652.320711466	24426750.588008024	735445.9465850946	1.06
2	[(32.8, -96.82), (40.72, -74.01), (41.85, -87.62)]	8387398.844864373	11845652.320711466	20233051.16557584	-3458253.4758470925	0.71
4	[(32.8, -96.82), (40.74, -74.0), (41.85, -87.62)]	8387398.844864373	11845652.320711466	20233051.16557584	-3458253.4758470925	0.71
5	[(40.72, -74.01), (40.74, -74.0), (41.85, -87.62)]	8387398.844864373	11845652.320711466	20233051.16557584	-3458253.4758470925	0.71
0	[(32.8, -96.82), (41.85, -87.62)]	4193699.4224321865	11845652.320711466	16039351.743143652	-7651952.8982792795	0.35
1	[(40.72, -74.01), (41.85, -87.62)]	4193699.4224321865	11845652.320711466	16039351.743143652	-7651952.8982792795	0.35
3	[(40.74, -74.0), (41.85, -87.62)]	4193699.4224321865	11845652.320711466	16039351.743143652	-7651952.8982792795	0.35
