Index in PPC list	Rank of PPC for ISP A	Rank of PPC for ISP B	(Rank A - Rank B)^2	Willingness (A)	Willingness (B)	Willingness (AB) = 1 - (diff^2/(1-n)^2)
2.0	4.0	2.0	4.0	0.5714285714285714	0.8571428571428571	0.6998542122237651
0.0	1.0	5.0	16.0	1.0	0.42857142857142855	0.6546536707079771
4.0	5.0	3.0	4.0	0.42857142857142855	0.7142857142857143	0.5532833351724881
1.0	2.0	6.0	16.0	0.8571428571428571	0.2857142857142857	0.4948716593053935
5.0	6.0	4.0	4.0	0.2857142857142857	0.5714285714285714	0.40406101782088427
6.0	7.0	1.0	36.0	0.14285714285714285	1.0	0.3779644730092272
3.0	3.0	7.0	16.0	0.7142857142857143	0.14285714285714285	0.3194382824999699
