PPC Index	Possible Location Combinations	My Traffic	Opponent Traffic	Total Traffic	Traffic Difference	Traffic Ratio
0	[(32.8, -96.82), (41.85, -87.62)]	12581098.26729656	515028.3617700638	13096126.629066624	12066069.905526496	24.43
3	[(40.74, -74.0), (41.85, -87.62)]	12581098.26729656	515028.3617700638	13096126.629066624	12066069.905526496	24.43
4	[(32.8, -96.82), (40.74, -74.0), (41.85, -87.62)]	12581098.26729656	1030056.7235401276	13611154.990836687	11551041.543756433	12.21
1	[(40.72, -74.01), (41.85, -87.62)]	12581098.26729656	10815595.597171338	23396693.864467897	1765502.6701252218	1.16
2	[(32.8, -96.82), (40.72, -74.01), (41.85, -87.62)]	12581098.26729656	11330623.958941402	23911722.22623796	1250474.3083551582	1.11
5	[(40.72, -74.01), (40.74, -74.0), (41.85, -87.62)]	12581098.26729656	11330623.958941402	23911722.22623796	1250474.3083551582	1.11
6	[(32.8, -96.82), (40.72, -74.01), (40.74, -74.0), (41.85, -87.62)]	12581098.26729656	11845652.320711466	24426750.588008024	735445.9465850946	1.06
