PPC Index	Possible Location Combinations	My Traffic	Opponent Traffic	Total Traffic	Traffic Difference	Traffic Ratio
6	[(32.8, -96.82), (40.72, -74.01), (40.74, -74.0), (41.85, -87.62)]	11845652.320711466	12581098.26729656	24426750.588008024	-735445.9465850946	0.94
2	[(32.8, -96.82), (40.72, -74.01), (41.85, -87.62)]	11330623.958941402	12581098.26729656	23911722.22623796	-1250474.3083551582	0.9
5	[(40.72, -74.01), (40.74, -74.0), (41.85, -87.62)]	11330623.958941402	12581098.26729656	23911722.22623796	-1250474.3083551582	0.9
1	[(40.72, -74.01), (41.85, -87.62)]	10815595.597171338	12581098.26729656	23396693.864467897	-1765502.6701252218	0.86
4	[(32.8, -96.82), (40.74, -74.0), (41.85, -87.62)]	1030056.7235401276	12581098.26729656	13611154.990836687	-11551041.543756433	0.08
0	[(32.8, -96.82), (41.85, -87.62)]	515028.3617700638	12581098.26729656	13096126.629066624	-12066069.905526496	0.04
3	[(40.74, -74.0), (41.85, -87.62)]	515028.3617700638	12581098.26729656	13096126.629066624	-12066069.905526496	0.04
