Index in PPC list	Rank of PPC for ISP A	Rank of PPC for ISP B	(Rank A - Rank B)^2	Willingness (A)	Willingness (B)	Willingness (AB) = 1 - (diff^2/(1-n)^2)
2.0	5.0	2.0	9.0	0.42857142857142855	0.8571428571428571	0.6060915267313265
1.0	4.0	4.0	0.0	0.5714285714285714	0.5714285714285714	0.5714285714285714
4.0	3.0	5.0	4.0	0.7142857142857143	0.42857142857142855	0.5532833351724881
0.0	1.0	6.0	25.0	1.0	0.2857142857142857	0.5345224838248488
5.0	6.0	3.0	9.0	0.2857142857142857	0.7142857142857143	0.4517539514526256
6.0	7.0	1.0	36.0	0.14285714285714285	1.0	0.3779644730092272
3.0	2.0	7.0	25.0	0.8571428571428571	0.14285714285714285	0.34992710611188255
