PPC Index	Possible Location Combinations	My Traffic	Opponent Traffic	Total Traffic	Traffic Difference	Traffic Ratio
6	[(34.05, -118.26), (39.02, -77.46), (41.85, -87.62), (40.72, -74.01)]	11716414.466749702	12997987.313791223	24714401.780540925	-1281572.8470415212	0.9
2	[(34.05, -118.26), (39.02, -77.46), (40.72, -74.01)]	11207005.14210841	12997987.313791223	24204992.455899633	-1790982.1716828123	0.86
4	[(34.05, -118.26), (41.85, -87.62), (40.72, -74.01)]	6112911.895695496	12997987.313791223	19110899.20948672	-6885075.4180957265	0.47
5	[(39.02, -77.46), (41.85, -87.62), (40.72, -74.01)]	6112911.895695496	12997987.313791223	19110899.20948672	-6885075.4180957265	0.47
0	[(34.05, -118.26), (40.72, -74.01)]	5603502.571054205	12997987.313791223	18601489.88484543	-7394484.742737018	0.43
1	[(39.02, -77.46), (40.72, -74.01)]	5603502.571054205	12997987.313791223	18601489.88484543	-7394484.742737018	0.43
3	[(41.85, -87.62), (40.72, -74.01)]	509409.32464129134	12997987.313791223	13507396.638432514	-12488577.989149932	0.04
