Index in PPC list	Rank of PPC for ISP A	Rank of PPC for ISP B	(Rank A - Rank B)^2	Willingness (A)	Willingness (B)	Willingness (AB) = 1 - (diff^2/(1-n)^2)
8.0	3.0	3.0	0.0	0.7777777777777778	0.7777777777777778	0.7777777777777778
5.0	6.0	2.0	16.0	0.4444444444444444	0.8888888888888888	0.6285393610547089
3.0	4.0	6.0	4.0	0.6666666666666666	0.4444444444444444	0.5443310539518174
6.0	1.0	8.0	49.0	1.0	0.2222222222222222	0.4714045207910317
0.0	7.0	4.0	9.0	0.3333333333333333	0.6666666666666666	0.4714045207910317
4.0	5.0	7.0	4.0	0.5555555555555556	0.3333333333333333	0.43033148291193524
1.0	8.0	5.0	9.0	0.2222222222222222	0.5555555555555556	0.3513641844631532
2.0	9.0	1.0	64.0	0.1111111111111111	1.0	0.3333333333333333
7.0	2.0	9.0	49.0	0.8888888888888888	0.1111111111111111	0.31426968052735443
