Index in PPC list	Rank of PPC for ISP A	Rank of PPC for ISP B	(Rank A - Rank B)^2	Willingness (A)	Willingness (B)	Willingness (AB) = 1 - (diff^2/(1-n)^2)
2.0	3.0	1.0	4.0	0.75	1.0	0.8660254037844387
5.0	1.0	4.0	9.0	1.0	0.6666666666666666	0.816496580927726
3.0	4.0	6.0	4.0	0.625	0.4444444444444444	0.5270462766947298
0.0	7.0	2.0	25.0	0.25	0.8888888888888888	0.4714045207910317
6.0	2.0	8.0	36.0	0.875	0.2222222222222222	0.4409585518440984
8.0	7.0	5.0	4.0	0.25	0.5555555555555556	0.372677996249965
4.0	6.0	7.0	1.0	0.375	0.3333333333333333	0.35355339059327373
1.0	8.0	3.0	25.0	0.125	0.7777777777777778	0.3118047822311618
7.0	5.0	9.0	16.0	0.5	0.1111111111111111	0.2357022603955158
