Index in PPC list	Rank of PPC for ISP A	Rank of PPC for ISP B	(Rank A - Rank B)^2	Willingness (A)	Willingness (B)	Willingness (AB) = 1 - (diff^2/(1-n)^2)
110.0	195.0	80.0	13225.0	0.6196078431372549	0.8454011741682974	0.7237521662227488
238.0	68.0	209.0	19881.0	0.8686274509803922	0.5929549902152642	0.7176747046516189
270.0	209.0	69.0	19600.0	0.592156862745098	0.8669275929549902	0.716489444214907
46.0	67.0	214.0	21609.0	0.8705882352941177	0.5831702544031311	0.7125315169568597
462.0	215.0	66.0	22201.0	0.5803921568627451	0.87279843444227	0.7117340555800153
166.0	9.0	257.0	61504.0	0.984313725490196	0.49902152641878667	0.7008521511482149
342.0	259.0	9.0	62500.0	0.49411764705882355	0.9843444227005871	0.6974108903940991
358.0	258.0	11.0	61009.0	0.49607843137254903	0.9804305283757339	0.6974026373526225
150.0	10.0	259.0	62001.0	0.9823529411764705	0.49510763209393344	0.6974026373526224
366.0	257.0	43.0	45796.0	0.4980392156862745	0.9178082191780822	0.6760950270708019
142.0	44.0	258.0	45796.0	0.9156862745098039	0.49706457925636005	0.6746519197112237
222.0	154.0	208.0	2916.0	0.7	0.5949119373776908	0.6453203515808126
286.0	208.0	156.0	2704.0	0.5941176470588235	0.6966731898238747	0.6433551401109077
30.0	151.0	215.0	4096.0	0.7058823529411765	0.5812133072407045	0.6405218316933401
478.0	216.0	150.0	4356.0	0.5784313725490197	0.7084148727984344	0.6401323200768241
438.0	5.0	306.0	90601.0	0.9921568627450981	0.40313111545988256	0.6324312632923905
70.0	307.0	5.0	91204.0	0.4	0.9921722113502935	0.6299753047065555
78.0	306.0	26.0	78400.0	0.4019607843137255	0.9510763209393346	0.6183003994071065
430.0	27.0	307.0	78400.0	0.9490196078431372	0.40117416829745595	0.6170268647915165
94.0	305.0	81.0	50176.0	0.403921568627451	0.8434442270058709	0.5836825466141499
414.0	81.0	308.0	51529.0	0.8431372549019608	0.39921722113502933	0.5801680032002606
182.0	1.0	364.0	131769.0	1.0	0.2896281800391389	0.5381711438187102
326.0	365.0	1.0	132496.0	0.28627450980392155	1.0	0.5350462688440333
334.0	363.0	10.0	124609.0	0.2901960784313726	0.9823874755381604	0.5339335098130386
174.0	11.0	366.0	126025.0	0.9803921568627451	0.2857142857142857	0.5292561240249631
158.0	42.0	365.0	104329.0	0.9196078431372549	0.2876712328767123	0.5143391118691911
350.0	364.0	44.0	102400.0	0.28823529411764703	0.9158512720156555	0.5137904833270598
264.0	221.0	275.0	2916.0	0.5686274509803921	0.4637964774951076	0.5135439696576407
316.0	224.0	274.0	2500.0	0.5627450980392157	0.4657534246575342	0.5119574754029914
