Index in PPC list	Rank of PPC for ISP A	Rank of PPC for ISP B	(Rank A - Rank B)^2	Willingness (A)	Willingness (B)	Willingness (AB) = 1 - (diff^2/(1-n)^2)
4.0	4.0	3.0	1.0	0.5714285714285714	0.7142857142857143	0.6388765649999399
0.0	2.0	5.0	9.0	0.8571428571428571	0.42857142857142855	0.6060915267313265
2.0	6.0	2.0	16.0	0.2857142857142857	0.8571428571428571	0.4948716593053935
5.0	5.0	4.0	1.0	0.42857142857142855	0.5714285714285714	0.49487165930539345
1.0	3.0	6.0	9.0	0.7142857142857143	0.2857142857142857	0.4517539514526256
3.0	1.0	7.0	36.0	1.0	0.14285714285714285	0.3779644730092272
6.0	7.0	1.0	36.0	0.14285714285714285	1.0	0.3779644730092272
