PPC Index	Possible Location Combinations	My Traffic	Opponent Traffic	Total Traffic	Traffic Difference	Traffic Ratio
3	[(41.85, -87.62), (40.72, -74.01)]	12997987.313791223	509409.32464129134	13507396.638432514	12488577.989149932	25.52
0	[(34.05, -118.26), (40.72, -74.01)]	12997987.313791223	5603502.571054205	18601489.88484543	7394484.742737018	2.32
1	[(39.02, -77.46), (40.72, -74.01)]	12997987.313791223	5603502.571054205	18601489.88484543	7394484.742737018	2.32
4	[(34.05, -118.26), (41.85, -87.62), (40.72, -74.01)]	12997987.313791223	6112911.895695496	19110899.20948672	6885075.4180957265	2.13
5	[(39.02, -77.46), (41.85, -87.62), (40.72, -74.01)]	12997987.313791223	6112911.895695496	19110899.20948672	6885075.4180957265	2.13
2	[(34.05, -118.26), (39.02, -77.46), (40.72, -74.01)]	12997987.313791223	11207005.14210841	24204992.455899633	1790982.1716828123	1.16
6	[(34.05, -118.26), (39.02, -77.46), (41.85, -87.62), (40.72, -74.01)]	12997987.313791223	11716414.466749702	24714401.780540925	1281572.8470415212	1.11
