Index in PPC list	Rank of PPC for ISP A	Rank of PPC for ISP B	(Rank A - Rank B)^2	Willingness (A)	Willingness (B)	Willingness (AB) = 1 - (diff^2/(1-n)^2)
3.0	2.0	2.0	0.0	0.8571428571428571	0.8333333333333334	0.8451542547285166
5.0	3.0	1.0	4.0	0.7142857142857143	1.0	0.8451542547285166
1.0	1.0	3.0	4.0	1.0	0.6666666666666666	0.816496580927726
0.0	4.0	4.0	0.0	0.5714285714285714	0.5	0.5345224838248488
4.0	6.0	5.0	1.0	0.2857142857142857	0.3333333333333333	0.30860669992418377
2.0	5.0	6.0	1.0	0.42857142857142855	0.16666666666666666	0.26726124191242434
6.0	7.0	5.0	4.0	0.14285714285714285	0.3333333333333333	0.21821789023599233
