PPC Index	Possible Location Combinations	My Traffic	Opponent Traffic	Total Traffic	Traffic Difference	Traffic Ratio
5	[(39.02, -77.46), (40.72, -74.01), (40.74, -74.0), (41.85, -87.62)]	10770103.654277619	6927156.148056006	17697259.802333623	3842947.506221613	1.55
3	[(39.02, -77.46), (40.74, -74.0), (41.85, -87.62)]	10665539.541129291	6927156.148056006	17592695.6891853	3738383.393073285	1.54
1	[(39.02, -77.46), (40.72, -74.01), (41.85, -87.62)]	6482975.015196236	6927156.148056006	13410131.163252242	-444181.1328597702	0.94
0	[(39.02, -77.46), (41.85, -87.62)]	6378410.90204791	6927156.148056006	13305567.050103916	-548745.2460080963	0.92
4	[(40.72, -74.01), (40.74, -74.0), (41.85, -87.62)]	4391692.752229708	6927156.148056006	11318848.900285713	-2535463.395826298	0.63
2	[(40.74, -74.0), (41.85, -87.62)]	4287128.639081382	6927156.148056006	11214284.78713739	-2640027.508974624	0.62
