PPC Index	Possible Location Combinations	My Traffic	Opponent Traffic	Total Traffic	Traffic Difference	Traffic Ratio
1	[(40.72, -74.01), (41.85, -87.62)]	6927156.148056006	104564.11314832636	7031720.261204332	6822592.03490768	66.25
3	[(40.74, -74.0), (41.85, -87.62)]	6927156.148056006	4287128.639081382	11214284.78713739	2640027.508974624	1.62
5	[(40.72, -74.01), (40.74, -74.0), (41.85, -87.62)]	6927156.148056006	4391692.752229708	11318848.900285713	2535463.395826298	1.58
0	[(39.02, -77.46), (41.85, -87.62)]	6927156.148056006	6378410.90204791	13305567.050103916	548745.2460080963	1.09
2	[(39.02, -77.46), (40.72, -74.01), (41.85, -87.62)]	6927156.148056006	6482975.015196236	13410131.163252242	444181.1328597702	1.07
4	[(39.02, -77.46), (40.74, -74.0), (41.85, -87.62)]	6927156.148056006	10665539.541129291	17592695.6891853	-3738383.393073285	0.65
6	[(39.02, -77.46), (40.72, -74.01), (40.74, -74.0), (41.85, -87.62)]	6927156.148056006	10770103.654277619	17697259.802333623	-3842947.506221613	0.64
