PPC Index	Possible Location Combinations	My Traffic	Opponent Traffic	Total Traffic	Traffic Difference	Traffic Ratio
15	[(37.24, -121.78)]	5154056.222591742	822107.2719927228	5976163.4945844645	4331948.950599019	6.27
23	[(39.02, -77.46), (37.24, -121.78)]	7859935.739452407	1644214.5439854455	9504150.283437852	6215721.195466962	4.78
17	[(40.72, -74.01), (37.24, -121.78)]	6442570.278239678	1644214.5439854455	8086784.822225124	4798355.734254232	3.92
19	[(41.85, -87.62), (37.24, -121.78)]	6442570.278239678	1644214.5439854455	8086784.822225124	4798355.734254232	3.92
25	[(40.72, -74.01), (39.02, -77.46), (37.24, -121.78)]	9148449.795100342	2466321.8159781685	11614771.611078512	6682127.979122174	3.71
27	[(41.85, -87.62), (39.02, -77.46), (37.24, -121.78)]	9148449.795100342	2466321.8159781685	11614771.611078512	6682127.979122174	3.71
7	[(39.02, -77.46)]	2705879.5168606653	822107.2719927228	3527986.7888533883	1883772.2448679425	3.29
29	[(40.72, -74.01), (41.85, -87.62), (39.02, -77.46), (37.24, -121.78)]	10436963.850748278	3288429.087970891	13725392.938719168	7148534.762777387	3.17
21	[(40.72, -74.01), (41.85, -87.62), (37.24, -121.78)]	7731084.333887612	2466321.8159781685	10197406.14986578	5264762.517909444	3.13
11	[(41.85, -87.62), (39.02, -77.46)]	3994393.5725086005	1644214.5439854455	5638608.1164940465	2350179.028523155	2.43
9	[(40.72, -74.01), (39.02, -77.46)]	3994393.5725086005	1644214.5439854455	5638608.1164940465	2350179.028523155	2.43
13	[(40.72, -74.01), (41.85, -87.62), (39.02, -77.46)]	5282907.628156536	2466321.8159781685	7749229.444134705	2816585.8121783677	2.14
5	[(40.72, -74.01), (41.85, -87.62)]	2577028.111295871	1644214.5439854455	4221242.6552813165	932813.5673104255	1.57
1	[(40.72, -74.01)]	1288514.0556479355	822107.2719927228	2110621.3276406582	466406.7836552127	1.57
3	[(41.85, -87.62)]	1288514.0556479355	822107.2719927228	2110621.3276406582	466406.7836552127	1.57
30	[(34.05, -118.26), (40.72, -74.01), (41.85, -87.62), (39.02, -77.46), (37.24, -121.78)]	11725477.906396214	13153716.351883564	24879194.258279778	-1428238.4454873502	0.89
26	[(34.05, -118.26), (40.72, -74.01), (39.02, -77.46), (37.24, -121.78)]	10436963.850748278	12331609.079890842	22768572.930639118	-1894645.2291425634	0.85
28	[(34.05, -118.26), (41.85, -87.62), (39.02, -77.46), (37.24, -121.78)]	10436963.850748278	12331609.079890842	22768572.930639118	-1894645.2291425634	0.85
24	[(34.05, -118.26), (39.02, -77.46), (37.24, -121.78)]	9148449.795100342	11509501.80789812	20657951.60299846	-2361052.0127977766	0.79
22	[(34.05, -118.26), (40.72, -74.01), (41.85, -87.62), (37.24, -121.78)]	9019598.389535548	12331609.079890842	21351207.46942639	-3312010.6903552935	0.73
20	[(34.05, -118.26), (41.85, -87.62), (37.24, -121.78)]	7731084.333887612	11509501.80789812	19240586.141785733	-3778417.4740105066	0.67
18	[(34.05, -118.26), (40.72, -74.01), (37.24, -121.78)]	7731084.333887612	11509501.80789812	19240586.141785733	-3778417.4740105066	0.67
16	[(34.05, -118.26), (37.24, -121.78)]	6442570.278239678	10687394.535905397	17129964.814145073	-4244824.257665719	0.6
14	[(34.05, -118.26), (40.72, -74.01), (41.85, -87.62), (39.02, -77.46)]	6571421.683804471	12331609.079890842	18903030.763695315	-5760187.396086371	0.53
12	[(34.05, -118.26), (41.85, -87.62), (39.02, -77.46)]	5282907.628156536	11509501.80789812	16792409.436054654	-6226594.179741583	0.46
10	[(34.05, -118.26), (40.72, -74.01), (39.02, -77.46)]	5282907.628156536	11509501.80789812	16792409.436054654	-6226594.179741583	0.46
8	[(34.05, -118.26), (39.02, -77.46)]	3994393.5725086005	10687394.535905397	14681788.108413998	-6693000.963396796	0.37
6	[(34.05, -118.26), (40.72, -74.01), (41.85, -87.62)]	3865542.166943806	11509501.80789812	15375043.974841926	-7643959.640954313	0.34
2	[(34.05, -118.26), (40.72, -74.01)]	2577028.111295871	10687394.535905397	13264422.647201268	-8110366.424609525	0.24
4	[(34.05, -118.26), (41.85, -87.62)]	2577028.111295871	10687394.535905397	13264422.647201268	-8110366.424609525	0.24
0	[(34.05, -118.26)]	1288514.0556479355	9865287.263912674	11153801.31956061	-8576773.208264738	0.13
