Index in PPC list	Rank of PPC for ISP A	Rank of PPC for ISP B	(Rank A - Rank B)^2	Willingness (A)	Willingness (B)	Willingness (AB) = 1 - (diff^2/(1-n)^2)
372.0	85.0	29.0	3136.0	0.8352941176470589	0.9452054794520548	0.8885519551236547
498.0	20.0	93.0	5329.0	0.9627450980392157	0.8199608610567515	0.8884893356514764
459.0	69.0	48.0	441.0	0.8666666666666667	0.9080234833659491	0.887104100759219
467.0	70.0	47.0	529.0	0.8647058823529412	0.9099804305283757	0.887054356341227
348.0	87.0	31.0	3136.0	0.8313725490196079	0.9412915851272016	0.8846264660849283
503.0	7.0	110.0	10609.0	0.9882352941176471	0.786692759295499	0.8817241917757563
364.0	86.0	41.0	2025.0	0.8333333333333334	0.9217221135029354	0.8764141493908266
251.0	39.0	90.0	2601.0	0.9254901960784314	0.8258317025440313	0.8742420398924203
371.0	90.0	43.0	2209.0	0.8254901960784313	0.9178082191780822	0.8704261524171427
363.0	89.0	45.0	1936.0	0.8274509803921568	0.913894324853229	0.8695991921998505
347.0	91.0	44.0	2209.0	0.8235294117647058	0.9158512720156555	0.868464426045771
438.0	48.0	94.0	2116.0	0.907843137254902	0.8180039138943248	0.8617535839650523
246.0	74.0	70.0	16.0	0.8568627450980392	0.8649706457925636	0.8609071506167432
443.0	23.0	118.0	9025.0	0.9568627450980393	0.7710371819960861	0.8589393194734023
478.0	133.0	4.0	16641.0	0.7411764705882353	0.9941291585127201	0.8583851938467428
462.0	132.0	20.0	12544.0	0.7431372549019608	0.9628180039138943	0.8458758350956461
496.0	34.0	125.0	8281.0	0.9352941176470588	0.7573385518590998	0.8416259814318698
472.0	35.0	126.0	8281.0	0.9333333333333333	0.7553816046966731	0.8396563767698237
454.0	130.0	33.0	9409.0	0.7470588235294118	0.9373776908023483	0.8368251160747502
366.0	152.0	11.0	19881.0	0.703921568627451	0.9804305283757339	0.83075038095958
237.0	97.0	80.0	289.0	0.8117647058823529	0.8454011741682974	0.8284122376578728
244.0	102.0	76.0	676.0	0.8019607843137255	0.8532289628180039	0.8271977805946489
482.0	72.0	106.0	1156.0	0.8607843137254902	0.7945205479452054	0.8269890111747641
458.0	71.0	107.0	1296.0	0.8627450980392157	0.7925636007827789	0.826910129010192
220.0	100.0	79.0	441.0	0.8058823529411765	0.8473581213307241	0.8263600647428571
236.0	101.0	78.0	529.0	0.803921568627451	0.8493150684931506	0.8263066634863503
245.0	98.0	82.0	256.0	0.8098039215686275	0.8414872798434442	0.8254936094042995
221.0	99.0	81.0	324.0	0.807843137254902	0.8434442270058709	0.825451773542197
497.0	31.0	146.0	13225.0	0.9411764705882353	0.7162426614481409	0.821042471609408
377.0	49.0	134.0	7225.0	0.9058823529411765	0.7397260273972602	0.8185992635169295
488.0	36.0	145.0	11881.0	0.9313725490196079	0.7181996086105675	0.8178700386837197
489.0	32.0	149.0	13689.0	0.9392156862745098	0.7103718199608611	0.816818435391007
473.0	33.0	150.0	13689.0	0.9372549019607843	0.7084148727984344	0.8148406667270959
466.0	73.0	120.0	2209.0	0.8588235294117647	0.7671232876712328	0.8116794499134277
376.0	50.0	142.0	8464.0	0.903921568627451	0.7240704500978473	0.809013533291768
342.0	154.0	37.0	13689.0	0.7	0.9295499021526419	0.8066504394760157
358.0	153.0	39.0	12996.0	0.7019607843137254	0.9256360078277887	0.8060770298450516
346.0	92.0	108.0	256.0	0.8215686274509804	0.7906066536203522	0.8059389699403333
412.0	64.0	135.0	5041.0	0.8764705882352941	0.7377690802348337	0.8041348765818062
413.0	62.0	138.0	5776.0	0.8803921568627451	0.7318982387475538	0.802718798219528
429.0	61.0	139.0	6084.0	0.8823529411764706	0.7299412915851272	0.8025371303038188
437.0	60.0	140.0	6400.0	0.884313725490196	0.7279843444227005	0.8023506388823881
428.0	66.0	136.0	4900.0	0.8725490196078431	0.735812133072407	0.8012690904608043
436.0	65.0	137.0	5184.0	0.8745098039215686	0.7338551859099804	0.8011014634470238
362.0	94.0	115.0	441.0	0.8176470588235294	0.776908023483366	0.7970172898862206
370.0	93.0	116.0	529.0	0.8196078431372549	0.7749510763209393	0.7969667371981715
471.0	41.0	162.0	14641.0	0.9215686274509803	0.684931506849315	0.79448812997115
487.0	43.0	161.0	13924.0	0.9176470588235294	0.6868884540117417	0.7939276853490599
235.0	117.0	101.0	256.0	0.7725490196078432	0.8043052837573386	0.7882672506403776
317.0	84.0	133.0	2401.0	0.8372549019607843	0.7416829745596869	0.7880213868613932
453.0	157.0	57.0	10000.0	0.6941176470588235	0.8904109589041096	0.7861615353792828
243.0	119.0	105.0	196.0	0.7686274509803922	0.7964774951076321	0.7824285697926854
219.0	118.0	109.0	81.0	0.7705882352941177	0.7886497064579256	0.779566665247198
430.0	135.0	92.0	1849.0	0.7372549019607844	0.821917808219178	0.7784362100509282
452.0	166.0	56.0	12100.0	0.6764705882352942	0.8923679060665362	0.7769560105560207
375.0	51.0	171.0	14400.0	0.9019607843137255	0.6673189823874756	0.7758192784029311
495.0	42.0	183.0	19881.0	0.9196078431372549	0.6438356164383562	0.7694649326433413
