,pair,Pred
356,577-29748,1
357,577-32934,1
358,577-33438,1
359,577-36351,1
360,577-41095,1
361,577-41690,1
362,577-46489,1
363,577-46562,1
364,577-57976,1
365,668-2153,1
366,668-2914,0
367,668-3292,1
368,668-6939,0
369,668-11537,1
370,668-23367,1
371,668-27446,1
372,668-29791,1
373,668-36351,1
374,668-53828,1
375,668-199524,1
376,701-1239,1
377,701-1273,1
378,701-1299,1
379,701-2828,1
380,701-2914,1
381,701-3257,1
382,701-3292,0
383,701-3320,1
384,701-3491,1
385,701-4637,1
386,701-5511,1
387,701-6453,1
388,701-6461,1
389,701-6762,1
390,701-6830,1
391,701-6939,1
392,701-7922,1
393,701-8075,0
394,701-10310,0
395,701-12956,1
396,701-13786,1
397,701-15169,0
398,701-22822,0
399,701-32590,0
400,701-54113,0
401,714-852,1
402,714-1239,0
403,714-1280,1
404,714-1820,1
405,714-2152,1
406,714-2381,1
407,714-2497,1
408,714-2603,1
409,714-2914,0
410,714-3292,1
411,714-3402,1
412,714-4181,1
413,714-4230,1
414,714-5511,0
415,714-5645,1
416,714-5650,1
417,714-6079,1
418,714-6233,1
419,714-6461,0
420,714-6830,1
421,714-6939,1
422,714-7489,1
423,714-7922,0
424,714-8220,1
425,714-8359,1
426,714-9002,1
427,714-9304,1
428,714-9312,1
429,714-11096,1
430,714-11164,1
431,714-11686,1
432,714-11708,1
433,714-13030,1
434,714-13760,1
435,714-13786,1
436,714-14061,1
437,714-14361,1
438,714-14537,1
439,714-14630,1
440,714-14907,1
441,714-15412,1
442,714-16552,1
443,714-17350,1
444,714-18106,1
445,714-19151,1
446,714-19653,1
447,714-23367,1
448,714-23473,1
449,714-25152,1
450,714-25885,1
451,714-27446,1
452,714-29791,1
453,714-30132,1
454,714-32097,1
455,714-32354,1
456,714-34927,1
457,714-35280,1
458,714-36351,1
459,714-37468,1
460,714-40630,1
461,714-41095,1
462,714-42473,1
463,714-46450,1
464,714-47147,1
465,714-51185,1
466,714-53828,1
467,714-57695,1
468,714-58453,1
469,714-58511,1
470,714-131477,1
471,714-137409,1
472,714-199524,1
473,803-852,1
474,803-6233,1
475,803-9304,1
476,803-11708,1
477,803-13786,1
478,803-14061,1
479,803-18106,1
480,803-19653,1
481,803-29791,1
482,803-32097,1
483,803-32354,1
484,803-36351,1
485,803-37468,1
486,803-51185,1
487,803-53828,1
488,803-58511,1
489,803-137409,1
490,803-199524,1
491,812-852,1
492,812-1273,1
493,812-2381,1
494,812-2603,1
495,812-3292,1
496,812-3491,1
497,812-4181,1
498,812-4809,1
499,812-5645,1
500,812-6079,1
501,812-6461,1
502,812-6830,0
503,812-6939,1
504,812-7922,1
505,812-11164,1
506,812-13030,1
507,812-14361,1
508,812-14907,1
509,812-19151,1
510,812-29791,1
511,812-35280,1
512,812-36351,1
513,812-41095,1
514,852-1828,1
515,852-2497,1
516,852-2603,1
517,852-3491,1
518,852-3737,1
519,852-4134,1
520,852-4181,1
521,852-4826,1
522,852-4837,1
523,852-5650,1
524,852-5769,1
525,852-6128,1
526,852-6315,1
527,852-6327,1
528,852-6461,1
529,852-6939,1
530,852-7029,1
531,852-7795,1
532,852-7843,1
533,852-7922,1
534,852-8075,1
535,852-8220,1
536,852-9002,1
537,852-9318,1
538,852-11164,1
539,852-11260,1
540,852-11404,1
541,852-11492,1
542,852-12200,1
543,852-13030,1
544,852-13335,1
545,852-13414,1
546,852-13768,1
547,852-14061,1
548,852-14340,1
549,852-14361,1
550,852-14537,1
551,852-14907,1
552,852-15169,1
553,852-16276,1
554,852-16509,1
555,852-16591,1
556,852-18106,1
557,852-19653,1
558,852-19754,1
559,852-19930,1
560,852-20055,1
561,852-20115,1
562,852-20473,1
563,852-20940,1
564,852-21859,1
565,852-21947,1
566,852-22697,1
567,852-22822,1
568,852-22995,1
569,852-23033,1
570,852-23393,1
571,852-23738,1
572,852-26038,1
573,852-29791,1
574,852-29802,1
575,852-29838,1
576,852-32097,1
577,852-32181,1
578,852-32354,1
579,852-32748,1
580,852-32934,1
581,852-33438,1
582,852-33616,1
583,852-35280,1
584,852-36351,1
585,852-39386,1
586,852-40065,1
587,852-41095,1
588,852-41378,1
589,852-46489,1
590,852-49544,1
591,852-53340,1
592,852-53828,1
593,852-54113,1
594,852-57976,1
595,852-58511,1
596,852-60068,1
597,852-62887,1
598,852-62955,1
599,852-63949,1
600,852-199524,1
601,852-208188,1
602,1239-1273,1
603,1239-1299,1
604,1239-2497,1
605,1239-2828,1
606,1239-2906,0
607,1239-2914,1
608,1239-3257,1
609,1239-3292,1
610,1239-3320,1
611,1239-3491,1
612,1239-4637,1
613,1239-4766,1
614,1239-5511,1
615,1239-6453,1
