,pair,Pred
4126,7106-19009,0
4127,7106-20205,1
4128,7155-19151,1
4129,7226-13786,1
4130,7226-23367,1
4131,7226-27446,1
4132,7226-29791,1
4133,7226-36351,1
4134,7226-53828,1
4135,7226-199524,1
4136,7311-9002,1
4137,7311-13030,1
4138,7311-13786,1
4139,7311-14061,1
4140,7311-18106,1
4141,7311-19653,0
4142,7311-29791,0
4143,7311-32097,1
4144,7311-32354,1
4145,7311-36351,1
4146,7311-58453,1
4147,7311-58511,1
4148,7311-137409,1
4149,7311-199524,1
4150,7342-8220,1
4151,7342-8359,1
4152,7342-9002,1
4153,7342-9304,1
4154,7342-11164,1
4155,7342-11686,1
4156,7342-12956,0
4157,7342-13030,1
4158,7342-13786,1
4159,7342-14061,1
4160,7342-14361,1
4161,7342-14537,1
4162,7342-14907,1
4163,7342-15412,1
4164,7342-16552,1
4165,7342-18106,1
4166,7342-19151,1
4167,7342-19653,1
4168,7342-23367,1
4169,7342-25885,1
4170,7342-27446,1
4171,7342-29791,1
4172,7342-32354,1
4173,7342-36351,1
4174,7342-37468,1
4175,7342-41095,1
4176,7342-43531,1
4177,7342-47147,1
4178,7342-51185,1
4179,7342-53828,1
4180,7342-57695,1
4181,7342-58511,1
4182,7342-137409,1
4183,7342-199524,1
4184,7342-263237,1
4185,7342-393950,1
4186,7349-30496,1
4187,7489-7850,1
4188,7489-9304,1
4189,7489-9318,1
4190,7489-9498,0
4191,7489-9680,1
4192,7489-12200,1
4193,7489-13335,1
4194,7489-13414,1
4195,7489-13768,1
4196,7489-13786,0
4197,7489-14061,1
4198,7489-14537,1
4199,7489-14630,1
4200,7489-15169,1
4201,7489-15695,1
4202,7489-16247,1
4203,7489-16265,1
4204,7489-16276,1
4205,7489-16552,1
4206,7489-19551,1
4207,7489-20860,0
4208,7489-20940,1
4209,7489-21859,0
4210,7489-23393,1
4211,7489-23764,0
4212,7489-29791,1
4213,7489-31216,1
4214,7489-32934,1
4215,7489-33438,1
4216,7489-34309,1
4217,7489-34927,1
4218,7489-35280,0
4219,7489-36351,1
4220,7489-37468,0
4221,7489-39386,0
4222,7489-42473,1
4223,7489-43531,1
4224,7489-43996,1
4225,7489-44356,0
4226,7489-45474,0
4227,7489-46489,1
4228,7489-47869,1
4229,7489-49544,1
4230,7489-51185,1
4231,7489-57695,0
4232,7489-57976,1
4233,7489-58453,1
4234,7489-58511,1
4235,7489-62217,1
4236,7489-62955,1
4237,7489-64049,1
4238,7489-199524,1
4239,7489-201971,1
4240,7489-213122,1
4241,7489-262589,0
4242,7500-8966,0
4243,7500-13030,1
4244,7500-13786,1
4245,7500-14061,1
4246,7500-14907,1
4247,7500-32354,1
4248,7500-58511,1
4249,7500-398493,1
4250,7598-18106,1
4251,7752-8220,1
4252,7752-18106,1
4253,7752-19653,1
4254,7752-29791,1
4255,7752-32354,1
4256,7752-36351,1
4257,7752-53828,1
4258,7752-58511,1
4259,7784-8359,1
4260,7784-13030,1
4261,7784-14361,1
4262,7784-19151,1
4263,7784-25885,1
4264,7784-27446,1
4265,7784-36351,1
4266,7784-57695,1
4267,7795-8220,1
4268,7795-8359,1
4269,7795-13786,1
4270,7795-14361,1
4271,7795-14907,1
4272,7795-16552,1
4273,7795-19151,1
4274,7795-19653,1
4275,7795-25885,1
4276,7795-27446,1
4277,7795-35280,1
4278,7795-36351,1
4279,7795-37468,1
4280,7795-41095,1
4281,7795-53828,1
4282,7795-57695,1
4283,7795-199524,1
4284,7819-8220,1
4285,7819-11686,1
4286,7819-23367,1
4287,7819-29791,0
4288,7819-36351,1
4289,7819-53828,1
4290,7843-7922,1
4291,7843-8220,1
4292,7843-11096,1
4293,7843-11164,1
4294,7843-12956,1
4295,7843-14907,1
4296,7843-19151,1
4297,7843-22773,1
4298,7843-23367,1
4299,7843-25885,1
4300,7843-29791,1
4301,7843-36351,1
4302,7843-199524,1
4303,7849-13786,1
4304,7849-14361,1
4305,7849-199524,1
4306,7850-8220,1
4307,7850-8359,1
4308,7850-9304,1
4309,7850-13030,1
4310,7850-13786,1
4311,7850-14061,1
4312,7850-14361,1
4313,7850-14537,1
4314,7850-14630,1
4315,7850-16552,1
4316,7850-18106,1
4317,7850-19151,1
4318,7850-19653,1
4319,7850-27446,1
4320,7850-29791,1
4321,7850-32354,1
4322,7850-34927,1
4323,7850-35280,1
4324,7850-36351,1
4325,7850-37468,1
4326,7850-41095,1
4327,7850-42473,1
4328,7850-43531,1
4329,7850-46450,1
4330,7850-51185,1
4331,7850-53828,1
4332,7850-57695,1
4333,7850-58511,1
4334,7850-131477,1
4335,7850-199524,1
4336,7862-58511,1
4337,7862-199524,1
4338,7922-8075,0
4339,7922-10490,1
4340,7922-11164,1
4341,7922-12956,1
4342,7922-13786,1
4343,7922-15133,1
4344,7922-15169,1
4345,7922-16509,1
4346,7922-17676,1
4347,7922-18779,0
4348,7922-19551,0
4349,7922-19679,0
4350,7922-20115,1
4351,7922-20940,0
4352,7922-21859,1
4353,7922-21976,0
4354,7922-22697,1
4355,7922-22773,1
4356,7922-22822,1
4357,7922-26554,1
4358,7922-27400,1
4359,7922-27552,0
4360,7922-32261,0
4361,7922-32934,0
4362,7922-33438,1
4363,7922-33653,1
4364,7922-33655,1
4365,7922-33656,1
4366,7922-36351,1
4367,7922-46562,0
4368,7922-49544,1
4369,7922-53340,0
4370,7922-57976,1
4371,7922-62955,0
4372,7949-20205,1
4373,7949-20940,1
4374,7979-8359,1
4375,7979-9304,1
4376,7979-18106,1
4377,7979-58511,1
4378,7979-199524,1
4379,8001-13786,1
4380,8001-36351,1
4381,8001-40630,1
4382,8001-41095,1
4383,8002-8359,1
4384,8002-9002,1
4385,8002-13030,1
4386,8002-13786,1
4387,8002-14061,1
4388,8002-14361,1
4389,8002-18106,1
4390,8002-19151,1
4391,8002-29791,1
4392,8002-36351,1
4393,8002-37468,1
4394,8002-40630,1
4395,8002-51185,1
4396,8002-137409,1
4397,8002-199524,1
4398,8057-36351,1
4399,8075-8220,1
4400,8075-8359,1
4401,8075-9002,1
4402,8075-9304,1
4403,8075-11096,1
4404,8075-11164,1
4405,8075-11537,1
4406,8075-11686,1
4407,8075-11708,1
4408,8075-13030,1
4409,8075-13786,1
4410,8075-14061,1
4411,8075-14361,1
4412,8075-14537,1
4413,8075-14630,1
4414,8075-14907,1
4415,8075-15412,1
4416,8075-16552,1
4417,8075-18106,1
4418,8075-19151,1
4419,8075-19653,1
4420,8075-20205,1
4421,8075-23367,1
4422,8075-25152,1
4423,8075-25885,1
4424,8075-27446,1
4425,8075-30132,1
4426,8075-32097,1
4427,8075-32354,1
4428,8075-35280,1
4429,8075-36351,1
4430,8075-37468,1
4431,8075-41095,1
4432,8075-43531,1
4433,8075-46450,1
4434,8075-47147,1
4435,8075-51185,1
4436,8075-53828,1
4437,8075-57695,1
4438,8075-58453,1
4439,8075-58511,1
4440,8075-62240,1
4441,8075-131477,1
4442,8075-199524,1
4443,8075-263237,1
4444,8100-9680,1
4445,8100-11686,1
4446,8100-13030,1
4447,8100-13786,1
4448,8100-18106,1
4449,8100-19151,1
4450,8100-23367,1
4451,8100-36351,1
4452,8100-46562,0
4453,8100-51185,1
4454,8100-53340,0
4455,8100-58453,1
4456,8100-199524,1
4457,8100-263237,0
4458,8151-18734,0
4459,8151-32098,0
4460,8220-8359,1
4461,8220-8360,1
4462,8220-8674,1
4463,8220-8757,1
4464,8220-8966,1
4465,8220-9002,1
4466,8220-9009,1
4467,8220-9304,1
4468,8220-9312,1
4469,8220-9318,1
4470,8220-9498,1
4471,8220-9505,1
4472,8220-9680,1
4473,8220-10122,1
4474,8220-10282,1
4475,8220-10310,1
4476,8220-10423,1
4477,8220-11071,1
4478,8220-11114,1
4479,8220-11142,1
4480,8220-11232,1
4481,8220-11274,1
4482,8220-11377,1
4483,8220-11404,1
4484,8220-11492,1
4485,8220-11550,1
4486,8220-11686,1
4487,8220-11796,1
4488,8220-11961,1
4489,8220-12041,1
4490,8220-12083,1
4491,8220-12085,1
4492,8220-12189,1
4493,8220-12200,1
4494,8220-12654,1
4495,8220-13030,1
4496,8220-13150,1
4497,8220-13335,1
4498,8220-13414,1
4499,8220-13445,1
4500,8220-13536,1
4501,8220-13739,1
4502,8220-13760,1
4503,8220-13768,1
4504,8220-13786,1
4505,8220-13896,1
4506,8220-13984,1
4507,8220-14061,1
4508,8220-14244,1
4509,8220-14340,1
4510,8220-14413,1
4511,8220-14537,1
4512,8220-14589,1
4513,8220-14609,1
4514,8220-14713,1
4515,8220-14907,1
4516,8220-15133,1
4517,8220-15169,1
4518,8220-15211,1
4519,8220-15224,1
4520,8220-15412,1
4521,8220-15695,1
4522,8220-16164,1
4523,8220-16247,1
4524,8220-16265,1
4525,8220-16276,1
4526,8220-16406,1
4527,8220-16509,1
4528,8220-16524,1
4529,8220-16552,1
4530,8220-16591,1
4531,8220-16713,1
4532,8220-17012,1
4533,8220-17072,1
4534,8220-17306,1
4535,8220-17676,1
4536,8220-17984,1
4537,8220-18106,1
4538,8220-18119,1
4539,8220-18450,1
4540,8220-18530,1
4541,8220-18568,1
4542,8220-18978,1
4543,8220-19009,1
4544,8220-19108,1
4545,8220-19151,1
4546,8220-19186,1
4547,8220-19551,1
4548,8220-19653,1
4549,8220-19679,1
4550,8220-19740,1
4551,8220-19750,1
4552,8220-19754,1
4553,8220-19834,1
4554,8220-19930,1
4555,8220-19969,1
4556,8220-20021,1
4557,8220-20055,1
4558,8220-20115,1
4559,8220-20119,1
4560,8220-20144,1
4561,8220-20326,1
4562,8220-20340,1
4563,8220-20473,1
4564,8220-20860,1
4565,8220-20940,1
4566,8220-21859,1
4567,8220-21928,1
4568,8220-21947,1
4569,8220-21949,1
4570,8220-22616,1
4571,8220-22645,1
4572,8220-22697,1
4573,8220-22702,1
4574,8220-22822,1
4575,8220-22925,1
4576,8220-22995,1
4577,8220-23028,1
4578,8220-23033,1
4579,8220-23352,1
4580,8220-23367,1
4581,8220-23393,1
4582,8220-23404,1
4583,8220-23470,1
4584,8220-23576,1
4585,8220-23738,1
4586,8220-23764,1
4587,8220-24429,1
4588,8220-25649,1
4589,8220-25751,1
4590,8220-26038,1
4591,8220-26415,1
4592,8220-26459,1
4593,8220-26496,1
4594,8220-26548,1
4595,8220-26744,1
4596,8220-26803,1
4597,8220-26827,1
4598,8220-26935,1
4599,8220-27281,1
4600,8220-27400,1
4601,8220-27446,1
4602,8220-27630,1
4603,8220-27647,1
4604,8220-29791,1
4605,8220-29802,1
4606,8220-29838,1
4607,8220-29884,1
4608,8220-29933,1
4609,8220-29990,1
4610,8220-30041,1
4611,8220-30076,1
4612,8220-30081,1
4613,8220-30132,1
4614,8220-30340,1
4615,8220-30517,1
4616,8220-31216,1
4617,8220-31800,1
4618,8220-31857,1
4619,8220-32035,1
4620,8220-32097,1
4621,8220-32098,1
4622,8220-32133,1
4623,8220-32181,1
4624,8220-32212,1
4625,8220-32244,1
4626,8220-32354,1
4627,8220-32425,1
4628,8220-32590,1
4629,8220-32748,1
4630,8220-32787,1
4631,8220-32934,1
4632,8220-33011,1
4633,8220-33353,1
4634,8220-33362,1
4635,8220-33438,1
4636,8220-33445,1
4637,8220-33483,1
4638,8220-33517,1
4639,8220-33616,1
4640,8220-34309,1
4641,8220-35280,1
4642,8220-35908,1
4643,8220-36062,1
4644,8220-36236,1
4645,8220-36351,1
4646,8220-36374,1
4647,8220-36692,1
4648,8220-37468,1
4649,8220-39386,1
4650,8220-39572,1
4651,8220-39832,1
4652,8220-40065,1
4653,8220-40217,1
4654,8220-40428,1
4655,8220-40627,1
4656,8220-40676,1
4657,8220-40788,1
4658,8220-41095,1
4659,8220-41378,1
4660,8220-41690,1
4661,8220-42473,1
4662,8220-43531,1
4663,8220-43996,1
4664,8220-44356,1
4665,8220-44444,1
4666,8220-45102,1
4667,8220-45474,1
4668,8220-46489,1
4669,8220-46562,1
4670,8220-46786,1
4671,8220-46997,1
4672,8220-47147,1
4673,8220-49544,1
4674,8220-51185,1
4675,8220-53334,1
4676,8220-53340,1
4677,8220-53597,1
4678,8220-53813,1
4679,8220-53828,1
4680,8220-54113,1
4681,8220-54527,1
4682,8220-54825,1
4683,8220-54994,1
4684,8220-55039,1
4685,8220-55081,1
4686,8220-55195,1
4687,8220-55219,1
4688,8220-55256,1
4689,8220-55967,1
4690,8220-57695,1
4691,8220-57976,1
4692,8220-58453,1
4693,8220-58511,1
4694,8220-58683,1
4695,8220-59865,1
4696,8220-60068,1
4697,8220-60725,1
4698,8220-62044,1
4699,8220-62240,1
4700,8220-62597,1
4701,8220-62642,1
4702,8220-62713,1
4703,8220-62715,1
4704,8220-62856,1
4705,8220-62887,1
4706,8220-62904,1
4707,8220-62955,1
4708,8220-63023,1
4709,8220-63242,1
4710,8220-63440,1
4711,8220-63949,1
4712,8220-64049,1
4713,8220-64050,1
4714,8220-64200,1
4715,8220-64208,1
4716,8220-64213,1
4717,8220-64227,1
4718,8220-131477,1
4719,8220-132203,1
4720,8220-134187,1
4721,8220-135354,1
4722,8220-137409,1
4723,8220-138699,1
4724,8220-197981,1
4725,8220-199524,1
4726,8220-199610,1
4727,8220-202053,1
4728,8220-203724,1
4729,8220-205272,1
4730,8220-208188,1
4731,8220-262287,1
4732,8220-262589,1
4733,8220-393220,1
4734,8220-393225,1
4735,8220-393565,1
4736,8220-393950,1
4737,8220-394018,1
4738,8220-394065,1
4739,8220-394749,1
4740,8220-395354,1
4741,8220-395662,1
4742,8220-396356,1
4743,8220-396914,1
4744,8220-396986,1
4745,8220-397326,1
4746,8220-398465,1
4747,8359-8674,1
4748,8359-8966,1
4749,8359-9304,1
4750,8359-9312,1
4751,8359-9498,1
4752,8359-9505,1
4753,8359-10310,1
4754,8359-10466,1
4755,8359-11071,1
4756,8359-11383,1
4757,8359-11403,1
4758,8359-11708,1
4759,8359-12041,1
4760,8359-12129,1
4761,8359-12200,1
4762,8359-13030,1
4763,8359-13150,1
4764,8359-13335,1
4765,8359-13414,1
4766,8359-13445,1
4767,8359-13536,1
4768,8359-13768,1
4769,8359-13786,1
4770,8359-13984,1
4771,8359-14061,1
4772,8359-14340,1
4773,8359-14361,1
4774,8359-14413,1
4775,8359-14492,1
4776,8359-14537,1
4777,8359-14589,1
4778,8359-14907,1
4779,8359-15133,1
4780,8359-15169,1
4781,8359-15412,1
4782,8359-15436,1
4783,8359-15695,1
4784,8359-16164,1
4785,8359-16265,1
4786,8359-16406,1
4787,8359-16509,1
4788,8359-16552,1
4789,8359-17113,1
4790,8359-17378,1
4791,8359-18106,1
4792,8359-18119,1
4793,8359-18450,1
4794,8359-18966,1
4795,8359-18978,1
4796,8359-19151,1
4797,8359-19318,1
4798,8359-19551,1
4799,8359-19679,1
4800,8359-19754,1
4801,8359-20473,1
4802,8359-20860,1
4803,8359-21859,1
4804,8359-21928,1
4805,8359-21949,1
4806,8359-22356,1
4807,8359-22418,1
4808,8359-22616,1
4809,8359-22691,1
4810,8359-22697,1
4811,8359-22742,1
4812,8359-22773,1
4813,8359-22822,1
4814,8359-23393,1
4815,8359-23470,1
4816,8359-23473,1
4817,8359-23576,1
4818,8359-25649,1
4819,8359-25818,1
4820,8359-25885,1
4821,8359-25933,1
4822,8359-26459,1
4823,8359-26496,1
4824,8359-27552,1
4825,8359-27630,1
4826,8359-27647,1
4827,8359-29748,1
4828,8359-29791,1
4829,8359-29838,1
4830,8359-29852,1
4831,8359-29933,1
4832,8359-30041,1
4833,8359-30081,1
4834,8359-30103,1
4835,8359-30132,1
4836,8359-31769,1
4837,8359-31950,1
4838,8359-32035,1
4839,8359-32097,1
4840,8359-32098,1
4841,8359-32133,1
4842,8359-32217,1
4843,8359-32261,1
4844,8359-32425,1
4845,8359-32590,1
4846,8359-32748,1
4847,8359-32787,1
4848,8359-32934,1
4849,8359-33011,1
4850,8359-33353,1
4851,8359-33438,1
4852,8359-34309,1
4853,8359-35280,1
4854,8359-35908,1
4855,8359-36062,1
4856,8359-36236,1
4857,8359-36351,1
4858,8359-37468,1
4859,8359-39386,1
4860,8359-39832,1
4861,8359-40065,1
4862,8359-40630,1
4863,8359-40676,1
4864,8359-40788,1
4865,8359-40805,1
4866,8359-41095,1
4867,8359-41690,1
4868,8359-42473,1
4869,8359-43531,1
4870,8359-43996,1
4871,8359-44444,1
4872,8359-45102,1
4873,8359-45187,1
4874,8359-45474,1
4875,8359-46786,1
4876,8359-47147,1
4877,8359-47869,1
4878,8359-49544,1
4879,8359-50245,1
4880,8359-50837,1
4881,8359-51185,1
4882,8359-53264,1
4883,8359-53334,1
4884,8359-53340,1
4885,8359-53591,1
4886,8359-53813,1
4887,8359-53828,1
4888,8359-53948,1
4889,8359-54113,1
4890,8359-54825,1
4891,8359-55081,1
4892,8359-55256,1
4893,8359-55967,1
4894,8359-57695,1
4895,8359-57976,1
4896,8359-58453,1
4897,8359-58511,1
4898,8359-59865,1
4899,8359-60068,1
4900,8359-61317,0
4901,8359-62240,1
4902,8359-62642,1
4903,8359-62887,1
4904,8359-62904,1
4905,8359-62955,1
4906,8359-63023,1
4907,8359-63199,1
4908,8359-63399,1
4909,8359-63949,1
4910,8359-64049,1
4911,8359-64050,1
4912,8359-64200,1
4913,8359-131477,1
4914,8359-132203,1
4915,8359-137409,1
4916,8359-199610,1
4917,8359-202196,1
4918,8359-203724,1
4919,8359-262589,1
4920,8359-394102,1
4921,8359-394625,1
4922,8359-395354,1
4923,8359-395853,1
4924,8359-396356,1
4925,8359-396986,1
4926,8360-11686,1
4927,8360-13786,1
4928,8360-14061,1
4929,8360-16552,1
4930,8360-18106,1
4931,8360-19653,1
4932,8360-23367,1
4933,8360-32354,1
4934,8360-36351,1
4935,8360-37468,1
4936,8360-53828,1
4937,8360-57695,1
4938,8360-58511,1
4939,8360-199524,1
4940,8674-9002,1
4941,8674-9304,1
4942,8674-13030,1
4943,8674-13786,1
4944,8674-14537,1
4945,8674-14907,1
4946,8674-15412,1
4947,8674-16552,1
4948,8674-18106,1
4949,8674-36351,1
4950,8674-37468,1
4951,8674-42473,1
4952,8674-43531,1
4953,8674-51185,1
4954,8674-57695,1
4955,8674-58511,1
4956,8674-199524,1
4957,8674-263237,0
4958,8674-398493,1
4959,8757-13786,1
4960,8757-14061,1
4961,8757-14537,1
4962,8757-16552,0
4963,8757-36351,1
4964,8757-37468,1
4965,8757-42473,1
4966,8757-47147,1
4967,8757-51185,1
4968,8757-57695,1
4969,8757-58511,1
4970,8757-199524,1
4971,8757-263237,1
4972,8966-9002,1
4973,8966-9312,1
4974,8966-9498,1
4975,8966-9505,1
4976,8966-11708,1
4977,8966-13030,1
4978,8966-13786,1
4979,8966-14061,1
4980,8966-14361,1
4981,8966-14537,1
4982,8966-14630,0
4983,8966-14907,0
4984,8966-15412,1
4985,8966-16552,1
4986,8966-18106,0
4987,8966-19151,1
4988,8966-19653,1
4989,8966-22822,1
4990,8966-23367,1
4991,8966-23473,1
4992,8966-25152,0
4993,8966-25885,0
4994,8966-29791,1
4995,8966-32097,1
4996,8966-34927,0
4997,8966-35280,1
4998,8966-36351,1
4999,8966-37468,1
5000,8966-39386,1
5001,8966-41095,1
5002,8966-43531,1
5003,8966-46450,1
5004,8966-47147,1
5005,8966-51185,1
5006,8966-57695,1
5007,8966-58453,1
5008,8966-58511,1
5009,8966-60068,1
5010,8966-62240,0
5011,8966-137409,0
5012,9002-9009,1
5013,9002-9304,1
5014,9002-9312,1
5015,9002-9498,1
5016,9002-9505,1
5017,9002-10282,1
5018,9002-10310,1
5019,9002-11383,1
5020,9002-11403,1
5021,9002-11492,1
5022,9002-11796,1
5023,9002-12041,1
5024,9002-12189,1
5025,9002-12200,1
5026,9002-12956,1
5027,9002-13030,1
5028,9002-13335,1
5029,9002-13414,1
5030,9002-13445,1
5031,9002-13536,1
5032,9002-13739,1
5033,9002-13768,1
5034,9002-13786,1
5035,9002-14061,1
5036,9002-14340,1
5037,9002-14413,1
5038,9002-14492,1
5039,9002-14537,1
5040,9002-14907,1
5041,9002-15133,1
5042,9002-15169,1
5043,9002-15412,1
5044,9002-16265,1
5045,9002-16276,1
5046,9002-16509,1
5047,9002-16552,1
5048,9002-16591,1
5049,9002-16713,1
5050,9002-17676,0
5051,9002-17978,1
5052,9002-18106,1
5053,9002-18530,1
5054,9002-19151,1
5055,9002-19653,1
5056,9002-19679,1
5057,9002-20473,1
5058,9002-20860,0
5059,9002-21928,1
5060,9002-21949,1
5061,9002-22691,1
5062,9002-22822,1
5063,9002-23033,1
5064,9002-23393,1
5065,9002-23738,1
5066,9002-25152,1
5067,9002-25818,1
5068,9002-25885,1
5069,9002-26038,1
5070,9002-26548,1
5071,9002-26935,1
5072,9002-27257,1
5073,9002-27552,1
5074,9002-29791,1
5075,9002-29838,1
5076,9002-30081,1
5077,9002-30124,1
5078,9002-30132,1
5079,9002-31216,1
5080,9002-31857,1
5081,9002-32097,1
5082,9002-32212,1
5083,9002-32354,1
5084,9002-32590,1
5085,9002-32787,1
5086,9002-32934,1
5087,9002-33353,1
5088,9002-33438,1
5089,9002-35280,1
5090,9002-36236,1
5091,9002-36351,1
5092,9002-36374,1
5093,9002-36692,1
5094,9002-37468,1
5095,9002-39386,1
5096,9002-39832,1
5097,9002-41378,1
5098,9002-41690,1
5099,9002-43531,1
5100,9002-43996,1
5101,9002-46450,1
5102,9002-46489,1
5103,9002-46786,0
5104,9002-49544,1
5105,9002-50245,1
5106,9002-51185,1
5107,9002-51531,1
5108,9002-53828,1
5109,9002-54113,1
5110,9002-55039,1
5111,9002-55081,1
5112,9002-55195,1
5113,9002-57695,1
5114,9002-57976,1
5115,9002-58453,1
5116,9002-58511,1
5117,9002-62955,1
5118,9002-63199,1
5119,9002-63949,1
5120,9002-64049,1
5121,9002-137409,1
5122,9002-197000,1
5123,9002-208188,1
5124,9002-394354,1
5125,9002-396914,1
5126,9009-11686,1
5127,9009-11708,1
5128,9009-13030,1
5129,9009-13335,1
5130,9009-13786,1
5131,9009-14061,1
5132,9009-14361,1
5133,9009-14537,1
5134,9009-14907,1
5135,9009-16265,1
5136,9009-16552,1
5137,9009-18106,1
5138,9009-19151,1
5139,9009-20940,1
5140,9009-23367,1
5141,9009-23473,1
5142,9009-29791,1
5143,9009-30132,1
5144,9009-32097,1
5145,9009-32934,1
5146,9009-34927,1
5147,9009-35280,1
5148,9009-36351,1
5149,9009-40630,1
5150,9009-41095,1
5151,9009-42473,1
5152,9009-47147,1
5153,9009-51185,1
5154,9009-53828,1
5155,9009-54113,1
5156,9009-57695,1
5157,9009-57976,1
5158,9009-58453,1
5159,9009-58511,1
5160,9009-131477,1
5161,9009-137409,0
5162,9009-199524,1
5163,9009-263237,1
5164,9304-9312,1
5165,9304-10122,1
5166,9304-10310,1
5167,9304-11071,1
5168,9304-11170,1
5169,9304-11383,1
5170,9304-11708,1
5171,9304-12041,1
5172,9304-12200,1
5173,9304-13030,1
5174,9304-13150,1
5175,9304-13335,1
5176,9304-13414,1
5177,9304-13427,1
5178,9304-13536,1
5179,9304-13786,1
5180,9304-13984,1
5181,9304-14061,1
5182,9304-14340,1
5183,9304-14361,1
5184,9304-14413,1
5185,9304-14537,1
5186,9304-14589,1
5187,9304-14630,1
5188,9304-14907,1
5189,9304-15133,1
5190,9304-15169,1
5191,9304-15436,1
5192,9304-15695,1
5193,9304-16247,1
5194,9304-16265,1
5195,9304-16276,1
5196,9304-16406,1
5197,9304-16552,1
5198,9304-16740,1
5199,9304-17676,1
5200,9304-17984,0
5201,9304-18106,1
5202,9304-18119,1
5203,9304-18450,1
5204,9304-18978,1
5205,9304-19151,1
5206,9304-19165,1
5207,9304-19551,1
5208,9304-19754,1
5209,9304-20119,1
5210,9304-20278,1
5211,9304-20473,1
5212,9304-21859,1
5213,9304-21949,1
5214,9304-22356,1
5215,9304-22616,1
5216,9304-22691,1
5217,9304-22697,1
5218,9304-22822,1
5219,9304-23089,1
5220,9304-23473,1
5221,9304-23576,1
5222,9304-23764,1
5223,9304-25933,1
5224,9304-26415,1
5225,9304-26459,1
5226,9304-27647,1
5227,9304-29791,1
5228,9304-29802,1
5229,9304-29933,1
5230,9304-30041,1
5231,9304-30103,1
5232,9304-30132,1
5233,9304-30419,1
5234,9304-31216,1
5235,9304-32035,1
5236,9304-32097,1
5237,9304-32098,1
5238,9304-32133,1
5239,9304-32261,1
5240,9304-32590,1
5241,9304-32748,1
5242,9304-32787,1
5243,9304-32934,1
5244,9304-33011,1
5245,9304-33353,1
5246,9304-33438,1
5247,9304-33548,1
5248,9304-34309,1
5249,9304-34927,1
5250,9304-35280,1
5251,9304-35908,1
5252,9304-36182,1
5253,9304-36236,1
5254,9304-36351,1
5255,9304-36408,1
5256,9304-36692,1
5257,9304-37468,1
5258,9304-39386,1
5259,9304-39572,1
5260,9304-40065,1
5261,9304-40627,1
5262,9304-40630,1
5263,9304-40788,1
5264,9304-40805,1
5265,9304-41095,1
5266,9304-41690,1
5267,9304-42473,1
5268,9304-43531,1
5269,9304-43996,1
5270,9304-44444,1
5271,9304-45102,1
5272,9304-45187,1
5273,9304-45474,1
5274,9304-46489,1
5275,9304-46786,1
5276,9304-47147,1
5277,9304-49544,1
5278,9304-50245,1
5279,9304-51185,1
5280,9304-53264,1
5281,9304-53334,1
5282,9304-53340,1
5283,9304-53591,1
5284,9304-53813,1
5285,9304-53828,1
5286,9304-53948,1
5287,9304-54113,1
5288,9304-54825,1
5289,9304-54994,1
5290,9304-55195,1
5291,9304-55256,1
5292,9304-57695,1
5293,9304-57976,1
5294,9304-58453,1
5295,9304-58511,1
5296,9304-59865,1
5297,9304-60068,1
5298,9304-60725,1
5299,9304-62044,1
5300,9304-62642,1
5301,9304-62668,1
5302,9304-62713,1
5303,9304-62715,1
5304,9304-62856,1
5305,9304-62887,1
5306,9304-62904,1
5307,9304-62955,1
5308,9304-63199,1
5309,9304-63399,1
5310,9304-64049,1
5311,9304-64050,1
5312,9304-137409,1
5313,9304-197981,1
5314,9304-199524,1
5315,9304-202053,1
5316,9304-205530,1
5317,9304-263237,1
5318,9304-266925,1
5319,9304-395354,1
5320,9304-396097,1
5321,9304-396356,1
5322,9304-396986,1
5323,9312-9505,1
5324,9312-10310,1
5325,9312-13335,1
5326,9312-16509,1
5327,9312-18106,1
5328,9312-20940,1
5329,9312-21859,1
5330,9312-32934,1
5331,9312-40065,1
5332,9312-45102,1
5333,9312-45474,1
5334,9312-46489,1
5335,9312-54994,1
5336,9312-58453,0
5337,9312-58511,1
5338,9312-64050,1
5339,9312-199524,1
5340,9318-11164,1
5341,9318-13030,1
5342,9318-13786,1
5343,9318-14061,1
5344,9318-14361,1
5345,9318-14630,1
5346,9318-19151,1
5347,9318-19653,1
5348,9318-29791,1
5349,9318-32097,1
5350,9318-32354,1
5351,9318-34927,0
5352,9318-35280,1
5353,9318-36351,1
5354,9318-37468,0
5355,9318-41095,1
5356,9318-43531,1
5357,9318-47147,1
5358,9318-51185,1
5359,9318-53828,1
5360,9318-57695,1
5361,9318-58453,1
5362,9318-58511,1
5363,9318-199524,1
5364,9498-11708,1
5365,9498-13030,1
5366,9498-13786,1
5367,9498-14361,1
5368,9498-14537,0
5369,9498-14630,1
5370,9498-14907,0
5371,9498-15169,0
5372,9498-15412,1
5373,9498-18106,1
5374,9498-19151,1
5375,9498-20473,1
5376,9498-23473,1
5377,9498-29791,1
5378,9498-30132,0
5379,9498-32097,0
5380,9498-32354,0
5381,9498-34927,0
5382,9498-35280,1
5383,9498-36351,1
5384,9498-37468,1
5385,9498-40630,1
5386,9498-43531,1
5387,9498-47147,1
5388,9498-51185,1
5389,9498-53828,0
5390,9498-54825,0
5391,9498-57695,0
5392,9498-58453,1
5393,9498-58511,1
5394,9498-63199,0
5395,9498-131477,0
5396,9498-137409,0
5397,9498-199524,1
