PPC Index	Possible Location Combinations	My Traffic	Opponent Traffic	Total Traffic	Traffic Difference	Traffic Ratio
6	[(37.24, -121.78), (41.85, -87.62), (40.74, -74.0)]	10550458.354896057	5233004.227649859	15783462.582545917	5317454.127246198	2.02
7	[(40.72, -74.01), (41.85, -87.62), (40.74, -74.0)]	10550458.354896057	5233004.227649859	15783462.582545917	5317454.127246198	2.02
3	[(37.24, -121.78), (40.74, -74.0)]	6007899.896538033	5233004.227649859	11240904.124187892	774895.668888174	1.15
4	[(40.72, -74.01), (40.74, -74.0)]	6007899.896538033	5233004.227649859	11240904.124187892	774895.668888174	1.15
8	[(37.24, -121.78), (40.72, -74.01), (41.85, -87.62), (40.74, -74.0)]	10550458.354896057	10466008.455299718	21016466.810195774	84449.89959633909	1.01
0	[(37.24, -121.78), (41.85, -87.62)]	4542558.458358025	5233004.227649859	9775562.686007883	-690445.769291834	0.87
1	[(40.72, -74.01), (41.85, -87.62)]	4542558.458358025	5233004.227649859	9775562.686007883	-690445.769291834	0.87
5	[(37.24, -121.78), (40.72, -74.01), (40.74, -74.0)]	6007899.896538033	10466008.455299718	16473908.35183775	-4458108.558761685	0.57
2	[(37.24, -121.78), (40.72, -74.01), (41.85, -87.62)]	4542558.458358025	10466008.455299718	15008566.913657743	-5923449.996941693	0.43
