PPC Index	Possible Location Combinations	My Traffic	Opponent Traffic	Total Traffic	Traffic Difference	Traffic Ratio
7	[(40.74, -74.0), (40.72, -74.01), (41.85, -87.62)]	10770103.654277619	577263.0123380005	11347366.66661562	10192840.641939618	18.66
4	[(40.74, -74.0), (41.85, -87.62)]	7949362.221014434	577263.0123380005	8526625.233352434	7372099.208676433	13.77
6	[(39.02, -77.46), (40.72, -74.01), (41.85, -87.62)]	10770103.654277619	6349893.135718006	17119996.789995626	4420210.518559613	1.7
8	[(39.02, -77.46), (40.74, -74.0), (40.72, -74.01), (41.85, -87.62)]	10770103.654277619	6927156.148056006	17697259.802333623	3842947.506221613	1.55
1	[(40.74, -74.0), (40.72, -74.01)]	2820741.4332631854	577263.0123380005	3398004.445601186	2243478.420925185	4.89
3	[(39.02, -77.46), (41.85, -87.62)]	7949362.221014434	6349893.135718006	14299255.35673244	1599469.0852964278	1.25
5	[(39.02, -77.46), (40.74, -74.0), (41.85, -87.62)]	7949362.221014434	6927156.148056006	14876518.36907044	1022206.0729584275	1.15
0	[(39.02, -77.46), (40.72, -74.01)]	2820741.4332631854	6349893.135718006	9170634.568981191	-3529151.7024548203	0.44
2	[(39.02, -77.46), (40.74, -74.0), (40.72, -74.01)]	2820741.4332631854	6927156.148056006	9747897.58131919	-4106414.7147928206	0.41
