Index in PPC list	Rank of PPC for ISP A	Rank of PPC for ISP B	(Rank A - Rank B)^2	Willingness (A)	Willingness (B)	Willingness (AB) = 1 - (diff^2/(1-n)^2)
8.0	3.0	3.0	0.0	0.7777777777777778	0.7777777777777778	0.7777777777777778
6.0	2.0	6.0	16.0	0.8888888888888888	0.4444444444444444	0.6285393610547089
5.0	6.0	2.0	16.0	0.4444444444444444	0.8888888888888888	0.6285393610547089
3.0	5.0	5.0	0.0	0.5555555555555556	0.5555555555555556	0.5555555555555556
4.0	4.0	8.0	16.0	0.6666666666666666	0.2222222222222222	0.38490017945975047
0.0	8.0	4.0	16.0	0.2222222222222222	0.6666666666666666	0.38490017945975047
7.0	1.0	9.0	64.0	1.0	0.1111111111111111	0.3333333333333333
1.0	7.0	7.0	0.0	0.3333333333333333	0.3333333333333333	0.3333333333333333
2.0	9.0	1.0	64.0	0.1111111111111111	1.0	0.3333333333333333
