PPC Index	Possible Location Combinations	My Traffic	Opponent Traffic	Total Traffic	Traffic Difference	Traffic Ratio
0	[(32.8, -96.82), (41.85, -87.62)]	11845652.320711466	4193699.4224321865	16039351.743143652	7651952.8982792795	2.82
1	[(40.72, -74.01), (41.85, -87.62)]	11845652.320711466	4193699.4224321865	16039351.743143652	7651952.8982792795	2.82
3	[(40.74, -74.0), (41.85, -87.62)]	11845652.320711466	4193699.4224321865	16039351.743143652	7651952.8982792795	2.82
2	[(32.8, -96.82), (40.72, -74.01), (41.85, -87.62)]	11845652.320711466	8387398.844864373	20233051.16557584	3458253.4758470925	1.41
4	[(32.8, -96.82), (40.74, -74.0), (41.85, -87.62)]	11845652.320711466	8387398.844864373	20233051.16557584	3458253.4758470925	1.41
5	[(40.72, -74.01), (40.74, -74.0), (41.85, -87.62)]	11845652.320711466	8387398.844864373	20233051.16557584	3458253.4758470925	1.41
6	[(32.8, -96.82), (40.72, -74.01), (40.74, -74.0), (41.85, -87.62)]	11845652.320711466	12581098.26729656	24426750.588008024	-735445.9465850946	0.94
