PPC Index	Possible Location Combinations	My Traffic	Opponent Traffic	Total Traffic	Traffic Difference	Traffic Ratio
7	[(40.72, -74.01), (40.74, -74.0), (41.85, -87.62)]	10466008.455299716	2231827.7289203196	12697836.184220036	8234180.726379396	4.69
6	[(37.24, -121.78), (40.74, -74.0), (41.85, -87.62)]	10466008.455299716	8318630.625975737	18784639.081275456	2147377.829323979	1.26
8	[(37.24, -121.78), (40.72, -74.01), (40.74, -74.0), (41.85, -87.62)]	10466008.455299716	10550458.354896057	21016466.810195774	-84449.89959634095	0.99
4	[(40.72, -74.01), (41.85, -87.62)]	6977338.970199811	2231827.7289203196	9209166.69912013	4745511.241279492	3.13
3	[(37.24, -121.78), (41.85, -87.62)]	6977338.970199811	8318630.625975737	15295969.596175548	-1341291.655775926	0.84
5	[(37.24, -121.78), (40.72, -74.01), (41.85, -87.62)]	6977338.970199811	10550458.354896057	17527797.32509587	-3573119.384696246	0.66
1	[(40.72, -74.01), (40.74, -74.0)]	3488669.4850999056	2231827.7289203196	5720497.214020225	1256841.756179586	1.56
0	[(37.24, -121.78), (40.74, -74.0)]	3488669.4850999056	8318630.625975737	11807300.111075643	-4829961.140875831	0.42
2	[(37.24, -121.78), (40.72, -74.01), (40.74, -74.0)]	3488669.4850999056	10550458.354896057	14039127.839995963	-7061788.869796151	0.33
