Index in PPC list	Rank of PPC for ISP A	Rank of PPC for ISP B	(Rank A - Rank B)^2	Willingness (A)	Willingness (B)	Willingness (AB) = 1 - (diff^2/(1-n)^2)
6.0	14.0	4.0	100.0	0.9745098039215686	0.9941291585127201	0.984270598633803
22.0	10.0	39.0	841.0	0.9823529411764705	0.9256360078277887	0.953572889059077
14.0	13.0	38.0	625.0	0.9764705882352941	0.9275929549902152	0.9517180456428312
38.0	11.0	40.0	841.0	0.9803921568627451	0.923679060665362	0.9516132126734415
134.0	3.0	86.0	6889.0	0.996078431372549	0.8336594911937377	0.9112575038303364
294.0	107.0	71.0	1296.0	0.792156862745098	0.863013698630137	0.8268265985156095
278.0	109.0	72.0	1369.0	0.788235294117647	0.8610567514677103	0.8238418062620616
390.0	87.0	97.0	100.0	0.8313725490196079	0.812133072407045	0.8216965027004622
198.0	142.0	50.0	8464.0	0.7235294117647059	0.9041095890410958	0.8087953258579911
118.0	110.0	89.0	441.0	0.7862745098039216	0.8277886497064579	0.8067645968739552
126.0	1.0	183.0	33124.0	1.0	0.6438356164383562	0.8023936792113683
86.0	173.0	24.0	22201.0	0.6627450980392157	0.9549902152641878	0.7955596042043336
102.0	174.0	23.0	22801.0	0.6607843137254902	0.9569471624266145	0.7951953684445261
230.0	90.0	130.0	1600.0	0.8254901960784313	0.7475538160469667	0.7855560745025082
214.0	91.0	131.0	1600.0	0.8235294117647058	0.7455968688845401	0.7835948894971763
262.0	191.0	17.0	30276.0	0.6274509803921569	0.9686888454011742	0.7796183462065995
46.0	12.0	200.0	35344.0	0.9784313725490196	0.6105675146771037	0.7729155267035086
54.0	9.0	202.0	37249.0	0.984313725490196	0.6066536203522505	0.7727467147332551
30.0	15.0	201.0	34596.0	0.9725490196078431	0.6086105675146771	0.7693527219418751
310.0	72.0	167.0	9025.0	0.8607843137254902	0.675146771037182	0.7623357199890488
110.0	172.0	87.0	7225.0	0.6647058823529411	0.8317025440313112	0.7435304791234308
206.0	143.0	129.0	196.0	0.7215686274509804	0.7495107632093934	0.7354069979737334
270.0	190.0	73.0	13689.0	0.6294117647058823	0.8590998043052838	0.7353417735218548
406.0	65.0	198.0	17689.0	0.8745098039215686	0.6144814090019569	0.7330552615592842
302.0	108.0	166.0	3364.0	0.7901960784313725	0.6771037181996086	0.7314674994916943
422.0	67.0	199.0	17424.0	0.8705882352941177	0.6125244618395304	0.73024419909189
470.0	157.0	120.0	1369.0	0.6941176470588235	0.7671232876712328	0.729708031641687
486.0	159.0	122.0	1369.0	0.6901960784313725	0.7632093933463796	0.7257851819303409
374.0	183.0	94.0	7921.0	0.6431372549019608	0.8180039138943248	0.7253197858055824
398.0	85.0	197.0	12544.0	0.8352941176470589	0.6164383561643836	0.7175704375154625
246.0	68.0	219.0	22801.0	0.8686274509803922	0.5733855185909981	0.7057325282589495
454.0	226.0	65.0	25921.0	0.5588235294117647	0.8747553816046967	0.6991665679366196
142.0	4.0	262.0	66564.0	0.9941176470588236	0.4892367906066536	0.6973943842134784
502.0	124.0	186.0	3844.0	0.7588235294117647	0.6379647749510763	0.6957748789434395
166.0	6.0	263.0	66049.0	0.9901960784313726	0.487279843444227	0.6946240638482997
150.0	5.0	264.0	67081.0	0.9921568627450981	0.48532289628180036	0.6939138579055153
382.0	147.0	170.0	529.0	0.7137254901960784	0.6692759295499021	0.6911434662169932
238.0	92.0	218.0	15876.0	0.8215686274509804	0.5753424657534246	0.6875196869205301
342.0	259.0	44.0	46225.0	0.49411764705882355	0.9158512720156555	0.6727096517697708
358.0	258.0	46.0	44944.0	0.49607843137254903	0.9119373776908023	0.6726012666021742
494.0	158.0	187.0	841.0	0.692156862745098	0.6360078277886497	0.6634886455422703
462.0	227.0	121.0	11236.0	0.5568627450980392	0.7651663405088063	0.6527577106648031
286.0	192.0	168.0	576.0	0.6254901960784314	0.6731898238747553	0.6489018684927833
222.0	144.0	220.0	5776.0	0.7196078431372549	0.5714285714285714	0.6412522762475912
366.0	257.0	95.0	26244.0	0.4980392156862745	0.8160469667318982	0.6375134439949623
438.0	58.0	283.0	50625.0	0.888235294117647	0.4481409001956947	0.6309156554496568
430.0	66.0	282.0	46656.0	0.8725490196078431	0.4500978473581213	0.6266836805278476
414.0	86.0	281.0	38025.0	0.8333333333333334	0.4520547945205479	0.6137689538964343
