PPC Index	Possible Location Combinations	My Traffic	Opponent Traffic	Total Traffic	Traffic Difference	Traffic Ratio
2	[(37.24, -121.78), (40.72, -74.01), (40.74, -74.0)]	10550458.354896057	3488669.4850999056	14039127.839995963	7061788.869796151	3.02
0	[(37.24, -121.78), (40.74, -74.0)]	8318630.625975737	3488669.4850999056	11807300.111075643	4829961.140875831	2.38
5	[(37.24, -121.78), (40.72, -74.01), (41.85, -87.62)]	10550458.354896057	6977338.970199811	17527797.32509587	3573119.384696246	1.51
3	[(37.24, -121.78), (41.85, -87.62)]	8318630.625975737	6977338.970199811	15295969.596175548	1341291.655775926	1.19
8	[(37.24, -121.78), (40.72, -74.01), (40.74, -74.0), (41.85, -87.62)]	10550458.354896057	10466008.455299716	21016466.810195774	84449.89959634095	1.01
1	[(40.72, -74.01), (40.74, -74.0)]	2231827.7289203196	3488669.4850999056	5720497.214020225	-1256841.756179586	0.64
6	[(37.24, -121.78), (40.74, -74.0), (41.85, -87.62)]	8318630.625975737	10466008.455299716	18784639.081275456	-2147377.829323979	0.79
4	[(40.72, -74.01), (41.85, -87.62)]	2231827.7289203196	6977338.970199811	9209166.69912013	-4745511.241279492	0.32
7	[(40.72, -74.01), (40.74, -74.0), (41.85, -87.62)]	2231827.7289203196	10466008.455299716	12697836.184220036	-8234180.726379396	0.21
